metric,value
llm_results_target_aligned_v2_rows,91
deepseek_backend_rows,91
offline_fallback_backend_rows,0
high_confidence_count,73
grouped_count,17
range_count,1
ambiguous_count,16
failed_count,97
target_aligned_llm_scored_edges,91
semantic_fallback_edges,113
semantic_edge_weights_v2_covers_all_204,1
formal_experiments_still_read_old_llm_results_csv,0
ambiguous_failed_edges_using_old_llm_scores,0
pdf_roots_scored_edges_before_fix,78
pdf_roots_scored_edges_after_fix,91
pdf_roots_high_confidence_before_fix,63
pdf_roots_high_confidence_after_fix,73
