edge_id,citing_paper_title,cited_paper_title,alignment_status,matched_cue_words,context_excerpt,DeepSeek_sentiment,DeepSeek_relevance,DeepSeek_section,manual_check_needed
W2509511072->W1994174199,Understanding rollover data,Smart data pricing: To share or not to share?,high_confidence,challenge,"This heterogeneous data usage brings challenges todesigning mobile data plans, as the available monthly dataquotas may not ﬁt different users’ needs. Shared data plans [3]–[6] can help to even out the het- erogeneity in user demands by allowing multiple use",0.5,0.6,Introduction,1
W2509511072->W2010653253,Understanding rollover data,A survey of smart data pricing,high_confidence,cannot; limited,"Most Internet service providers (ISPs) today charge their users a ﬂat fee for a limited amount of mobile data that can be used each month, with steep overage fees for exceeding thismonthly quota [1]. Moreover, in most cases, leftover data atthe end of each month cannot be rolled over into subsequent",0.0,0.4,Introduction,1
W4210813858->W2612128091,Data Boundary and Data Pricing Based on the Shapley Value,QIRANA,high_confidence,but; however,"owners to choose from a variety of pricing functions, specify relation and attribute-level parameters to control the prices of queries. However, most queries considered by these marketplaces are too simplistic to support sophisticated data analytics and decision making.",0.5,0.4,Methodology,1
W4210813858->W2293940046,Data Boundary and Data Pricing Based on the Shapley Value,Query-Based Data Pricing,high_confidence,but; problem,"generates the objective function and corresponding constraints, forming an ILP problem to get the prices. Researchers improved their studies and proposed a framework that allows the price of any query to be derived automatically [26]. QIRANA pricing sys- tem [27] allows exible pricing by allowing t",0.5,0.6,Methodology,1
W4226305897->W2734426755,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,grouped,but,"cloud resources [ 57], spatial data [ 58], aggregated data from multiple distributed system [ 59], and data acquired from Application Programming Interfaces (APIs) [ 60]. Moreover, Tang et al.",0.0,0.2,Introduction,1
W4226305897->W2743929098,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Data pricing strategy based on data quality,high_confidence,but,"tical programming model [ 63], Fair Knapsack Pricing [ 64,65], or optimal distributing algorithm [ 66]. Other works on data quality-based pricing speciﬁcally focus on XML dataset properties [ 67,68].",0.4,0.5,Discussion,1
W4226305897->W2765365501,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Pricing of Data Products in Data Marketplaces,grouped,but; challenge; unlike,"a marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-ba",0.5,0.6,Discussion,1
W4226305897->W2790400697,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,"A Survey on Big Data Market: Pricing, Trading and Protection",grouped,but; challenge; unlike,"a marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-ba",0.3,0.5,Discussion,1
W4226305897->W2920282816,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,grouped,but; unlike,"a marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-ba",0.5,0.7,Result,1
W2934375453->W2743929098,Personal Data Market Optimization Pricing Model Based on Privacy Level,Data pricing strategy based on data quality,grouped,however,"ost studies assumed that the willingness to pay was a linear function [ 18,20]. However, the linear value function does not accurately capture the estimates of actual data and consumer’s self-selection behavior.",0.5,0.6,Methodology,1
